Program,Year,State,Commodity, ACRES HARVESTED, ACRES PLANTED," PRODUCTION, MEASURED IN $"
1,2016,IOWA,CORN,0.0,0.0,9043650000.0
SURVEY,2016,ALABAMA,CORN,315000.0,0.0,137214000.0
SURVEY,2016,ALABAMA,COTTON,343000.0,345000.0,277037000.0
SURVEY,2016,ALABAMA,OATS,20000.0,50000.0,4290000.0
SURVEY,2016,ALABAMA,PEANUTS,172000.0,175000.0,121982000.0
SURVEY,2016,ALABAMA,SOYBEANS,410000.0,420000.0,128970000.0
SURVEY,2016,ALABAMA,WHEAT,170000.0,230000.0,52955000.0
SURVEY,2016,ALASKA,BARLEY,4700.0,5000.0,1208000.0
SURVEY,2016,ALASKA,OATS,1200.0,2000.0,274000.0
SURVEY,2016,ARIZONA,BARLEY,16000.0,17000.0,8315000.0
SURVEY,2016,ARIZONA,CORN,50000.0,0.0,50848000.0
SURVEY,2016,ARIZONA,COTTON,129000.0,134500.0,33258000.0
SURVEY,2016,ARIZONA,WHEAT,103000.0,111000.0,66459000.0
SURVEY,2016,ARKANSAS,CORN,745000.0,0.0,470088000.0
SURVEY,2016,ARKANSAS,COTTON,375000.0,380000.0,333667000.0
SURVEY,2016,ARKANSAS,OATS,8000.0,11000.0,1256000.0
SURVEY,2016,ARKANSAS,PEANUTS,23000.0,24000.0,20424000.0
SURVEY,2016,ARKANSAS,RICE,1521000.0,1546000.0,988898000.0
SURVEY,2016,ARKANSAS,SORGHUM,44000.0,47000.0,8994000.0
SURVEY,2016,ARKANSAS,SOYBEANS,3090000.0,3130000.0,1427611000.0
SURVEY,2016,ARKANSAS,WHEAT,115000.0,195000.0,28939000.0
SURVEY,2016,CALIFORNIA,BARLEY,60000.0,85000.0,19350000.0
SURVEY,2016,CALIFORNIA,BEANS,49000.0,50000.0,71997000.0
SURVEY,2016,CALIFORNIA,CORN,100000.0,0.0,86765000.0
SURVEY,2016,CALIFORNIA,COTTON,216000.0,218000.0,77556000.0
SURVEY,2016,CALIFORNIA,OATS,11000.0,110000.0,2717000.0
SURVEY,2016,CALIFORNIA,RICE,536000.0,541000.0,677734000.0
SURVEY,2016,CALIFORNIA,SAFFLOWER,61500.0,62000.0,29766000.0
SURVEY,2016,CALIFORNIA,SUNFLOWER,46000.0,46600.0,14249000.0
SURVEY,2016,CALIFORNIA,WHEAT,217000.0,480000.0,88401000.0
SURVEY,2016,COLORADO,BARLEY,75000.0,80000.0,51374000.0
SURVEY,2016,COLORADO,BEANS,42500.0,46000.0,22557000.0
SURVEY,2016,COLORADO,CORN,1170000.0,0.0,548192000.0
SURVEY,2016,COLORADO,MILLET,285000.0,300000.0,22338000.0
SURVEY,2016,COLORADO,OATS,10000.0,55000.0,2136000.0
SURVEY,2016,COLORADO,SORGHUM,415000.0,450000.0,49966000.0
SURVEY,2016,COLORADO,SUNFLOWER,70000.0,74000.0,13883000.0
SURVEY,2016,COLORADO,WHEAT,2200000.0,2361000.0,326674000.0
SURVEY,2016,DELAWARE,BARLEY,25000.0,35000.0,5016000.0
SURVEY,2016,DELAWARE,CORN,164000.0,0.0,114029000.0
SURVEY,2016,DELAWARE,SOYBEANS,163000.0,165000.0,63862000.0
SURVEY,2016,DELAWARE,WHEAT,65000.0,70000.0,17594000.0
SURVEY,2016,FLORIDA,CORN,40000.0,0.0,22794000.0
SURVEY,2016,FLORIDA,COTTON,102000.0,103000.0,72421000.0
SURVEY,2016,FLORIDA,PEANUTS,146000.0,155000.0,107076000.0
SURVEY,2016,FLORIDA,SOYBEANS,29000.0,31000.0,9135000.0
SURVEY,2016,FLORIDA,WHEAT,15000.0,22000.0,1755000.0
SURVEY,2016,GEORGIA,CORN,340000.0,0.0,217668000.0
SURVEY,2016,GEORGIA,COTTON,1165000.0,1180000.0,856280000.0
SURVEY,2016,GEORGIA,OATS,15000.0,45000.0,3132000.0
SURVEY,2016,GEORGIA,PEANUTS,706000.0,720000.0,512132000.0
SURVEY,2016,GEORGIA,RYE,30000.0,200000.0,3686000.0
SURVEY,2016,GEORGIA,SORGHUM,10000.0,20000.0,1926000.0
SURVEY,2016,GEORGIA,SOYBEANS,240000.0,260000.0,72720000.0
SURVEY,2016,GEORGIA,WHEAT,110000.0,180000.0,20493000.0
SURVEY,2016,IDAHO,BARLEY,580000.0,600000.0,322091000.0
SURVEY,2016,IDAHO,BEANS,137000.0,140000.0,71635000.0
SURVEY,2016,IDAHO,CANOLA,20500.0,21000.0,6945000.0
SURVEY,2016,IDAHO,CORN,100000.0,0.0,83472000.0
SURVEY,2016,IDAHO,LENTILS,37000.0,38000.0,15670000.0
SURVEY,2016,IDAHO,OATS,15000.0,55000.0,3175000.0
SURVEY,2016,IDAHO,PEAS,29000.0,30000.0,8845000.0
SURVEY,2016,IDAHO,SAFFLOWER,17500.0,18000.0,2529000.0
SURVEY,2016,IDAHO,WHEAT,1125000.0,1190000.0,421527000.0
SURVEY,2016,ILLINOIS,CORN,11450000.0,0.0,7736880000.0
SURVEY,2016,ILLINOIS,OATS,20000.0,45000.0,3888000.0
SURVEY,2016,ILLINOIS,SORGHUM,16000.0,18000.0,4508000.0
SURVEY,2016,ILLINOIS,SOYBEANS,10050000.0,10100000.0,5799051000.0
SURVEY,2016,ILLINOIS,WHEAT,470000.0,520000.0,142250000.0
SURVEY,2016,INDIANA,CORN,5470000.0,0.0,3435105000.0
SURVEY,2016,INDIANA,SOYBEANS,5630000.0,5650000.0,3136895000.0
SURVEY,2016,INDIANA,WHEAT,280000.0,330000.0,91627000.0
SURVEY,2016,IOWA,CORN,13500000.0,0.0,0.0
SURVEY,2016,IOWA,OATS,43000.0,120000.0,8235000.0
SURVEY,2016,IOWA,SOYBEANS,9440000.0,9500000.0,5290176000.0
SURVEY,2016,IOWA,WHEAT,17000.0,25000.0,3877000.0
SURVEY,2016,KANSAS,CANOLA,24000.0,25000.0,7124000.0
SURVEY,2016,KANSAS,CORN,4920000.0,0.0,2235648000.0
SURVEY,2016,KANSAS,COTTON,31000.0,33000.0,23515000.0
SURVEY,2016,KANSAS,OATS,30000.0,120000.0,3027000.0
SURVEY,2016,KANSAS,SORGHUM,2950000.0,3100000.0,702050000.0
SURVEY,2016,KANSAS,SOYBEANS,4010000.0,4050000.0,1782365000.0
SURVEY,2016,KANSAS,SUNFLOWER,58000.0,63000.0,13632000.0
SURVEY,2016,KANSAS,WHEAT,8200000.0,8500000.0,1495680000.0
SURVEY,2016,KENTUCKY,CORN,1400000.0,0.0,832524000.0
SURVEY,2016,KENTUCKY,SOYBEANS,1780000.0,1790000.0,878430000.0
SURVEY,2016,KENTUCKY,WHEAT,400000.0,510000.0,144640000.0
SURVEY,2016,LOUISIANA,CORN,550000.0,0.0,335775000.0
SURVEY,2016,LOUISIANA,COTTON,137000.0,140000.0,107249000.0
SURVEY,2016,LOUISIANA,RICE,428000.0,437000.0,289578000.0
SURVEY,2016,LOUISIANA,SORGHUM,46000.0,52000.0,15870000.0
SURVEY,2016,LOUISIANA,SOYBEANS,1190000.0,1230000.0,573110000.0
SURVEY,2016,LOUISIANA,WHEAT,20000.0,25000.0,3825000.0
SURVEY,2016,MAINE,OATS,22000.0,25000.0,3593000.0
SURVEY,2016,MARYLAND,BARLEY,34000.0,50000.0,6585000.0
SURVEY,2016,MARYLAND,CORN,400000.0,0.0,246240000.0
SURVEY,2016,MARYLAND,SOYBEANS,515000.0,520000.0,199410000.0
SURVEY,2016,MARYLAND,WHEAT,260000.0,360000.0,67226000.0
SURVEY,2016,MICHIGAN,BEANS,208000.0,210000.0,116858000.0
SURVEY,2016,MICHIGAN,CORN,2040000.0,0.0,1101763000.0
SURVEY,2016,MICHIGAN,OATS,30000.0,65000.0,3967000.0
SURVEY,2016,MICHIGAN,SOYBEANS,2060000.0,2070000.0,989325000.0
SURVEY,2016,MICHIGAN,WHEAT,570000.0,610000.0,210530000.0
SURVEY,2016,MINNESOTA,BARLEY,79000.0,95000.0,21795000.0
SURVEY,2016,MINNESOTA,BEANS,147000.0,155000.0,98698000.0
SURVEY,2016,MINNESOTA,CANOLA,27500.0,29000.0,8415000.0
SURVEY,2016,MINNESOTA,CORN,8000000.0,0.0,4956240000.0
SURVEY,2016,MINNESOTA,OATS,120000.0,210000.0,16483000.0
SURVEY,2016,MINNESOTA,SOYBEANS,7490000.0,7550000.0,3594900000.0
SURVEY,2016,MINNESOTA,SUNFLOWER,77500.0,80000.0,21945000.0
SURVEY,2016,MINNESOTA,WHEAT,1268000.0,1321000.0,351326000.0
SURVEY,2016,MISSISSIPPI,CORN,720000.0,0.0,447005000.0
SURVEY,2016,MISSISSIPPI,COTTON,430000.0,435000.0,435398000.0
SURVEY,2016,MISSISSIPPI,PEANUTS,38000.0,39000.0,27664000.0
SURVEY,2016,MISSISSIPPI,RICE,194000.0,195000.0,133022000.0
SURVEY,2016,MISSISSIPPI,SORGHUM,11000.0,13000.0,3218000.0
SURVEY,2016,MISSISSIPPI,SOYBEANS,2020000.0,2040000.0,963782000.0
SURVEY,2016,MISSISSIPPI,WHEAT,50000.0,65000.0,10728000.0
SURVEY,2016,MISSOURI,CORN,3500000.0,0.0,1939700000.0
SURVEY,2016,MISSOURI,COTTON,266000.0,280000.0,229707000.0
SURVEY,2016,MISSOURI,OATS,19000.0,45000.0,2622000.0
SURVEY,2016,MISSOURI,RICE,231000.0,236000.0,152292000.0
SURVEY,2016,MISSOURI,SORGHUM,54000.0,65000.0,14939000.0
SURVEY,2016,MISSOURI,SOYBEANS,5540000.0,5600000.0,2606016000.0
SURVEY,2016,MISSOURI,WHEAT,570000.0,690000.0,159201000.0
SURVEY,2016,MONTANA,BARLEY,780000.0,990000.0,239616000.0
SURVEY,2016,MONTANA,BEANS,99500.0,103000.0,41938000.0
SURVEY,2016,MONTANA,CANOLA,60000.0,62000.0,14629000.0
SURVEY,2016,MONTANA,CORN,55000.0,0.0,22825000.0
SURVEY,2016,MONTANA,FLAXSEED,28000.0,29000.0,4953000.0
SURVEY,2016,MONTANA,LENTILS,505000.0,520000.0,210131000.0
SURVEY,2016,MONTANA,OATS,28000.0,60000.0,4211000.0
SURVEY,2016,MONTANA,PEAS,580000.0,610000.0,118755000.0
SURVEY,2016,MONTANA,SAFFLOWER,34000.0,37000.0,0.0
SURVEY,2016,MONTANA,WHEAT,4975000.0,5130000.0,947754000.0
SURVEY,2016,NEBRASKA,BEANS,122000.0,138000.0,78278000.0
SURVEY,2016,NEBRASKA,CORN,9550000.0,0.0,5643668000.0
SURVEY,2016,NEBRASKA,MILLET,88000.0,95000.0,8840000.0
SURVEY,2016,NEBRASKA,OATS,25000.0,135000.0,3375000.0
SURVEY,2016,NEBRASKA,PEAS,52000.0,55000.0,0.0
SURVEY,2016,NEBRASKA,SORGHUM,175000.0,200000.0,48880000.0
SURVEY,2016,NEBRASKA,SOYBEANS,5150000.0,5200000.0,2883897000.0
SURVEY,2016,NEBRASKA,SUNFLOWER,39000.0,41500.0,11179000.0
SURVEY,2016,NEBRASKA,WHEAT,1310000.0,1370000.0,222124000.0
SURVEY,2016,NEVADA,WHEAT,9000.0,15000.0,2637000.0
SURVEY,2016,NEW JERSEY,CORN,71000.0,0.0,40151000.0
SURVEY,2016,NEW JERSEY,SOYBEANS,98000.0,100000.0,33834000.0
SURVEY,2016,NEW JERSEY,WHEAT,21000.0,25000.0,5578000.0
SURVEY,2016,NEW MEXICO,BEANS,0.0,0.0,0.0
SURVEY,2016,NEW MEXICO,CORN,41000.0,0.0,24170000.0
SURVEY,2016,NEW MEXICO,COTTON,48800.0,55000.0,33958000.0
SURVEY,2016,NEW MEXICO,PEANUTS,8000.0,8000.0,4480000.0
SURVEY,2016,NEW MEXICO,SORGHUM,85000.0,110000.0,10870000.0
SURVEY,2016,NEW MEXICO,WHEAT,210000.0,345000.0,15246000.0
SURVEY,2016,NEW YORK,CORN,570000.0,0.0,286767000.0
SURVEY,2016,NEW YORK,OATS,60000.0,90000.0,7161000.0
SURVEY,2016,NEW YORK,SOYBEANS,320000.0,330000.0,125558000.0
SURVEY,2016,NEW YORK,WHEAT,115000.0,120000.0,36508000.0
SURVEY,2016,NORTH CAROLINA,CORN,940000.0,0.0,493528000.0
SURVEY,2016,NORTH CAROLINA,COTTON,255000.0,280000.0,126549000.0
SURVEY,2016,NORTH CAROLINA,OATS,9000.0,35000.0,1188000.0
SURVEY,2016,NORTH CAROLINA,PEANUTS,99000.0,101000.0,74437000.0
SURVEY,2016,NORTH CAROLINA,SORGHUM,37000.0,45000.0,7407000.0
SURVEY,2016,NORTH CAROLINA,SOYBEANS,1660000.0,1690000.0,569380000.0
SURVEY,2016,NORTH CAROLINA,WHEAT,355000.0,420000.0,67099000.0
SURVEY,2016,NORTH DAKOTA,BARLEY,640000.0,740000.0,191674000.0
SURVEY,2016,NORTH DAKOTA,BEANS,565000.0,625000.0,248533000.0
SURVEY,2016,NORTH DAKOTA,CANOLA,1450000.0,1460000.0,448224000.0
SURVEY,2016,NORTH DAKOTA,CORN,3270000.0,0.0,1555147000.0
SURVEY,2016,NORTH DAKOTA,FLAXSEED,329000.0,335000.0,63168000.0
SURVEY,2016,NORTH DAKOTA,LENTILS,294000.0,305000.0,114101000.0
SURVEY,2016,NORTH DAKOTA,OATS,110000.0,290000.0,16335000.0
SURVEY,2016,NORTH DAKOTA,PEAS,545000.0,560000.0,137346000.0
SURVEY,2016,NORTH DAKOTA,SAFFLOWER,7700.0,8300.0,1492000.0
SURVEY,2016,NORTH DAKOTA,SOYBEANS,5990000.0,6050000.0,2229807000.0
SURVEY,2016,NORTH DAKOTA,SUNFLOWER,663000.0,688000.0,199515000.0
SURVEY,2016,NORTH DAKOTA,WHEAT,7405000.0,7590000.0,1578377000.0
SURVEY,2016,OHIO,CORN,3300000.0,0.0,1894167000.0
SURVEY,2016,OHIO,OATS,25000.0,50000.0,5624000.0
SURVEY,2016,OHIO,SOYBEANS,4840000.0,4850000.0,2548115000.0
SURVEY,2016,OHIO,WHEAT,560000.0,580000.0,190400000.0
SURVEY,2016,OKLAHOMA,CANOLA,70000.0,75000.0,12789000.0
SURVEY,2016,OKLAHOMA,CORN,350000.0,0.0,143567000.0
SURVEY,2016,OKLAHOMA,COTTON,290000.0,305000.0,234709000.0
SURVEY,2016,OKLAHOMA,OATS,8000.0,65000.0,1015000.0
SURVEY,2016,OKLAHOMA,PEANUTS,12000.0,13000.0,9368000.0
SURVEY,2016,OKLAHOMA,RYE,75000.0,260000.0,13125000.0
SURVEY,2016,OKLAHOMA,SORGHUM,370000.0,400000.0,54929000.0
SURVEY,2016,OKLAHOMA,SOYBEANS,470000.0,485000.0,128122000.0
SURVEY,2016,OKLAHOMA,WHEAT,3500000.0,5000000.0,469560000.0
SURVEY,2016,OREGON,BARLEY,32000.0,45000.0,5703000.0
SURVEY,2016,OREGON,CANOLA,3700.0,4000.0,1465000.0
SURVEY,2016,OREGON,CORN,39000.0,0.0,38123000.0
SURVEY,2016,OREGON,OATS,10000.0,30000.0,2250000.0
SURVEY,2016,OREGON,PEAS,5800.0,6000.0,1888000.0
SURVEY,2016,OREGON,WHEAT,797000.0,810000.0,180160000.0
SURVEY,2016,PENNSYLVANIA,BARLEY,38000.0,55000.0,8123000.0
SURVEY,2016,PENNSYLVANIA,CORN,950000.0,0.0,495102000.0
SURVEY,2016,PENNSYLVANIA,OATS,50000.0,85000.0,9246000.0
SURVEY,2016,PENNSYLVANIA,SOYBEANS,595000.0,600000.0,249757000.0
SURVEY,2016,PENNSYLVANIA,WHEAT,150000.0,190000.0,47328000.0
SURVEY,2016,SOUTH CAROLINA,CORN,350000.0,0.0,164021000.0
SURVEY,2016,SOUTH CAROLINA,COTTON,183000.0,190000.0,89465000.0
SURVEY,2016,SOUTH CAROLINA,OATS,7000.0,17000.0,998000.0
SURVEY,2016,SOUTH CAROLINA,PEANUTS,106000.0,110000.0,65126000.0
SURVEY,2016,SOUTH CAROLINA,SOYBEANS,405000.0,420000.0,121532000.0
SURVEY,2016,SOUTH CAROLINA,WHEAT,50000.0,60000.0,9331000.0
SURVEY,2016,SOUTH DAKOTA,CORN,5130000.0,0.0,2552124000.0
SURVEY,2016,SOUTH DAKOTA,FLAXSEED,9000.0,10000.0,1231000.0
SURVEY,2016,SOUTH DAKOTA,MILLET,40000.0,48000.0,4887000.0
SURVEY,2016,SOUTH DAKOTA,OATS,110000.0,295000.0,17769000.0
SURVEY,2016,SOUTH DAKOTA,PEAS,30000.0,32000.0,0.0
SURVEY,2016,SOUTH DAKOTA,SAFFLOWER,18500.0,21800.0,3643000.0
SURVEY,2016,SOUTH DAKOTA,SORGHUM,200000.0,270000.0,44682000.0
SURVEY,2016,SOUTH DAKOTA,SOYBEANS,5170000.0,5200000.0,2310912000.0
SURVEY,2016,SOUTH DAKOTA,SUNFLOWER,540000.0,558000.0,180204000.0
SURVEY,2016,SOUTH DAKOTA,WHEAT,2157000.0,2270000.0,456411000.0
SURVEY,2016,TENNESSEE,CORN,830000.0,0.0,458708000.0
SURVEY,2016,TENNESSEE,COTTON,250000.0,255000.0,232121000.0
SURVEY,2016,TENNESSEE,SOYBEANS,1630000.0,1660000.0,717363000.0
SURVEY,2016,TENNESSEE,WHEAT,335000.0,400000.0,113471000.0
SURVEY,2016,TEXAS,BEANS,24000.0,29000.0,9214000.0
SURVEY,2016,TEXAS,CORN,2550000.0,0.0,1201484000.0
SURVEY,2016,TEXAS,COTTON,5215000.0,5667000.0,3100677000.0
SURVEY,2016,TEXAS,OATS,60000.0,470000.0,12090000.0
SURVEY,2016,TEXAS,PEANUTS,205000.0,305000.0,129839000.0
SURVEY,2016,TEXAS,RICE,187000.0,195000.0,143166000.0
SURVEY,2016,TEXAS,SORGHUM,1750000.0,1900000.0,384199000.0
SURVEY,2016,TEXAS,SOYBEANS,145000.0,165000.0,41174000.0
SURVEY,2016,TEXAS,SUNFLOWER,38500.0,45500.0,9408000.0
SURVEY,2016,TEXAS,WHEAT,2800000.0,5000000.0,317184000.0
SURVEY,2016,UTAH,BARLEY,19000.0,29000.0,3677000.0
SURVEY,2016,UTAH,CORN,29000.0,0.0,19640000.0
SURVEY,2016,UTAH,SAFFLOWER,13500.0,14000.0,0.0
SURVEY,2016,UTAH,WHEAT,120000.0,129000.0,29298000.0
SURVEY,2016,VIRGINIA,BARLEY,12000.0,33000.0,2251000.0
SURVEY,2016,VIRGINIA,CORN,340000.0,0.0,201280000.0
SURVEY,2016,VIRGINIA,COTTON,72000.0,73000.0,29616000.0
SURVEY,2016,VIRGINIA,PEANUTS,21000.0,21000.0,15637000.0
SURVEY,2016,VIRGINIA,SOYBEANS,600000.0,610000.0,203040000.0
SURVEY,2016,VIRGINIA,WHEAT,175000.0,210000.0,44056000.0
SURVEY,2016,WASHINGTON,BARLEY,93000.0,110000.0,20695000.0
SURVEY,2016,WASHINGTON,BEANS,133000.0,135000.0,82613000.0
SURVEY,2016,WASHINGTON,CANOLA,31000.0,33000.0,9734000.0
SURVEY,2016,WASHINGTON,CORN,85000.0,0.0,94082000.0
SURVEY,2016,WASHINGTON,LENTILS,69000.0,70000.0,26662000.0
SURVEY,2016,WASHINGTON,OATS,7000.0,18000.0,756000.0
SURVEY,2016,WASHINGTON,PEAS,89000.0,90000.0,26273000.0
SURVEY,2016,WASHINGTON,WHEAT,2200000.0,2240000.0,656782000.0
SURVEY,2016,WEST VIRGINIA,CORN,35000.0,0.0,19793000.0
SURVEY,2016,WEST VIRGINIA,SOYBEANS,26000.0,27000.0,12464000.0
SURVEY,2016,WEST VIRGINIA,WHEAT,4000.0,7000.0,1171000.0
SURVEY,2016,WISCONSIN,CORN,3220000.0,0.0,1879965000.0
SURVEY,2016,WISCONSIN,OATS,100000.0,210000.0,12276000.0
SURVEY,2016,WISCONSIN,SOYBEANS,1950000.0,1960000.0,1003860000.0
SURVEY,2016,WISCONSIN,WHEAT,250000.0,270000.0,69323000.0
SURVEY,2016,WYOMING,BARLEY,82000.0,95000.0,43611000.0
SURVEY,2016,WYOMING,BEANS,31100.0,33000.0,21110000.0
SURVEY,2016,WYOMING,CORN,69000.0,0.0,34385000.0
SURVEY,2016,WYOMING,OATS,7000.0,23000.0,1009000.0
SURVEY,2016,WYOMING,WHEAT,125000.0,140000.0,13685000.0
